case_id,text,category,risk_level,outcome,ipc_sections,what_to_do,how_to_do,when_to_do
1,My debit card was cloned and money was withdrawn.,fraud,High,win,Section 420 IPC (Cheating) | Section 318 BNS (Cheating) | Section 66C and 66D of IT Act 2000,Block the card/account instantly and report the financial fraud to authorities.,"[""Call your bank's 24/7 helpline to block the card/account immediately."", ""Call the National Cyber Crime Helpline at 1930."", ""Register a formal complaint at cybercrime.gov.in with transaction screenshots and bank statements."", ""Submit a written dispute form to your bank manager within 3 days.""]",URGENT. Must be reported within 72 hours to ensure zero liability under RBI guidelines.
2,Someone used my credit card for unauthorized international transactions.,fraud,High,win,Section 420 IPC (Cheating) | Section 318 BNS (Cheating) | Section 66C and 66D of IT Act 2000,Block the card/account instantly and report the financial fraud to authorities.,"[""Call your bank's 24/7 helpline to block the card/account immediately."", ""Call the National Cyber Crime Helpline at 1930."", ""Register a formal complaint at cybercrime.gov.in with transaction screenshots and bank statements."", ""Submit a written dispute form to your bank manager within 3 days.""]",URGENT. Must be reported within 72 hours to ensure zero liability under RBI guidelines.
3,I became a victim of an online bank fraud phishing attack.,fraud,High,win,Section 420 IPC (Cheating) | Section 318 BNS (Cheating) | Section 66C and 66D of IT Act 2000,Block the card/account instantly and report the financial fraud to authorities.,"[""Call your bank's 24/7 helpline to block the card/account immediately."", ""Call the National Cyber Crime Helpline at 1930."", ""Register a formal complaint at cybercrime.gov.in with transaction screenshots and bank statements."", ""Submit a written dispute form to your bank manager within 3 days.""]",URGENT. Must be reported within 72 hours to ensure zero liability under RBI guidelines.
4,OTP scam resulted in money being deducted from my savings account.,fraud,High,win,Section 420 IPC (Cheating) | Section 318 BNS (Cheating) | Section 66C and 66D of IT Act 2000,Block the card/account instantly and report the financial fraud to authorities.,"[""Call your bank's 24/7 helpline to block the card/account immediately."", ""Call the National Cyber Crime Helpline at 1930."", ""Register a formal complaint at cybercrime.gov.in with transaction screenshots and bank statements."", ""Submit a written dispute form to your bank manager within 3 days.""]",URGENT. Must be reported within 72 hours to ensure zero liability under RBI guidelines.
5,A cheque issued by a customer bounced due to insufficient funds.,fraud,Medium,win,Section 138 of Negotiable Instruments Act 1881,Send a legal demand notice to the issuer before filing a court case.,"[""Collect the 'Cheque Return Memo' from your bank."", ""Draft a formal Legal Demand Notice demanding payment (preferably through a lawyer)."", ""Send the notice via Registered Post / Speed Post with acknowledgment due."", ""If they fail to pay after receiving the notice, file a criminal complaint in the Magistrate court.""]",Notice MUST be sent within 30 days of receiving the return memo from bank. The drawer gets 15 days to pay. Case must be filed within 30 days after that.
6,Business partner gave a post-dated cheque which was dishonored.,fraud,Medium,win,Section 138 of Negotiable Instruments Act 1881,Send a legal demand notice to the issuer before filing a court case.,"[""Collect the 'Cheque Return Memo' from your bank."", ""Draft a formal Legal Demand Notice demanding payment (preferably through a lawyer)."", ""Send the notice via Registered Post / Speed Post with acknowledgment due."", ""If they fail to pay after receiving the notice, file a criminal complaint in the Magistrate court.""]",Notice MUST be sent within 30 days of receiving the return memo from bank. The drawer gets 15 days to pay. Case must be filed within 30 days after that.
7,Cheque returned unpaid by bank marked as funds insufficient.,fraud,Medium,win,Section 138 of Negotiable Instruments Act 1881,Send a legal demand notice to the issuer before filing a court case.,"[""Collect the 'Cheque Return Memo' from your bank."", ""Draft a formal Legal Demand Notice demanding payment (preferably through a lawyer)."", ""Send the notice via Registered Post / Speed Post with acknowledgment due."", ""If they fail to pay after receiving the notice, file a criminal complaint in the Magistrate court.""]",Notice MUST be sent within 30 days of receiving the return memo from bank. The drawer gets 15 days to pay. Case must be filed within 30 days after that.
8,My tenant is refusing to vacate my house after the lease agreement expired.,property,High,win,Specific Relief Act 1963 | State Rent Control Act | Section 441 IPC (Criminal Trespass) if applicable,Initiate legal eviction proceedings. Do NOT take the law into your own hands by cutting electricity or water.,"[""Send a strict legal notice for eviction terminating the tenancy."", ""Do not forcibly evict them or cut essential services, as that is illegal."", ""If they do not vacate, file an eviction suit in the local Rent Controller Court or Civil Court."", ""Present the registered rent agreement and bank statements showing unpaid rent.""]",Send the legal notice immediately after the lease expires. Allow 1 month notice period.
9,Landlord eviction dispute where tenant has not paid rent for 6 months and won't leave.,property,High,win,Specific Relief Act 1963 | State Rent Control Act | Section 441 IPC (Criminal Trespass) if applicable,Initiate legal eviction proceedings. Do NOT take the law into your own hands by cutting electricity or water.,"[""Send a strict legal notice for eviction terminating the tenancy."", ""Do not forcibly evict them or cut essential services, as that is illegal."", ""If they do not vacate, file an eviction suit in the local Rent Controller Court or Civil Court."", ""Present the registered rent agreement and bank statements showing unpaid rent.""]",Send the legal notice immediately after the lease expires. Allow 1 month notice period.
10,Tenant illegally subletting the property and refusing to move out.,property,High,win,Specific Relief Act 1963 | State Rent Control Act | Section 441 IPC (Criminal Trespass) if applicable,Initiate legal eviction proceedings. Do NOT take the law into your own hands by cutting electricity or water.,"[""Send a strict legal notice for eviction terminating the tenancy."", ""Do not forcibly evict them or cut essential services, as that is illegal."", ""If they do not vacate, file an eviction suit in the local Rent Controller Court or Civil Court."", ""Present the registered rent agreement and bank statements showing unpaid rent.""]",Send the legal notice immediately after the lease expires. Allow 1 month notice period.
